index,x,y
0,-0.6326963906581744,0.3962654472208611
1,-0.6272524361696343,0.3962654472208611
2,-0.5074854374217432,0.3799335837552398
3,-0.4285480973379061,0.3799335837552398
4,-0.3795525069410419,0.3799335837552398
5,-0.3332788937884481,0.3799335837552398
6,-0.2951712123686645,0.38537753824378007
7,-0.25434155370461076,0.39898742446513125
8,-0.21351189504055723,0.4153192879307528
9,-0.17540421362077385,0.439817083129185
10,-0.13729653220099092,0.46159290108334683
11,-0.09918885078120732,0.48609069628177903
12,-0.07196907833850519,0.4942566280145897
13,-0.03386139691872159,0.5051445369916705
14,-0.0011976699874787222,0.5051445369916705
15,0.03418803418803407,0.4915346507703193
16,0.06412978387500701,0.4697588328161575
17,0.10223746529479039,0.4370951058849146
18,0.1430671239588439,0.41804126517502294
19,0.19206271435570832,0.40443137895367176
20,0.24922423648538317,0.39898742446513125
21,0.3009418041265177,0.3962654472208611
22,0.358103326256193,0.3962654472208611
23,0.39893298492024654,0.3962654472208611
24,0.4343186890957593,0.3962654472208611
25,0.46426043878273227,0.3962654472208611
26,0.4969241657139749,0.3962654472208611
27,0.5404758016222986,0.3962654472208611
28,0.5840274375306227,0.4017094017094016
29,0.6221351189504056,0.4098753334422123
30,0.6520768686373786,0.4207632424192933
31,0.6847405955686217,0.42892917415210396
32,0.7119603680113236,0.4262071969078338
33,0.7282922314769449,0.4125973106864824
34,0.7473460721868368,0.39354346997659095
35,0.7636779356524586,0.3717676520224289
36,0.7881757308508903,0.34999183406826706
37,0.8017856170722415,0.33910392509118603
38,0.8099515488050519,0.3227720616255647
39,0.8099515488050519,0.31460612989275405
40,0.8126735260493225,0.31460612989275405
41,0.8099515488050519,0.31460612989275405
42,0.7473460721868368,0.32549403886983486
43,0.701072459034243,0.32005008438129434
44,0.6520768686373786,0.31460612989275405
45,0.5949153465077037,0.31460612989275405
46,0.5404758016222986,0.30916217540421354
47,0.46970439327127256,0.3009962436714029
48,0.3880450759431655,0.29010833469432185
49,0.31727366759213904,0.27649844847297067
50,0.2519462137296533,0.25200065327453847
51,0.20839457782132964,0.22750285807610626
52,0.1512330556916548,0.19756110838913377
53,0.11584735151614134,0.15673144972508024
54,0.08862757907343921,0.11590179106102672
55,0.08318362458489847,0.08868201861832414
56,0.09134955631770914,0.05874026893135165
57,0.0995154880505198,0.02063258751156849
58,0.11584735151614134,-0.006587184931134082
59,0.15667701018019486,-0.031084980129566286
60,0.20295062333278935,-0.04741684359518761
61,0.2519462137296533,-0.04741684359518761
62,0.31727366759213904,-0.04741684359518761
63,0.3798791442103546,-0.04741684359518761
64,0.44248462082856976,-0.04741684359518761
65,0.5050900974467858,-0.04741684359518761
66,0.5595296423321905,-0.03652893461810658
67,0.600359300996244,-0.022919048396755404
68,0.6411889596602975,-0.009309162175404229
69,0.6684087321029999,-0.001143230442593568
70,0.6929065273014321,0.0043007240459469465
71,0.7065164135227833,0.0043007240459469465
72,0.7146823452555942,0.0043007240459469465
73,0.7174043224998643,-0.001143230442593568
74,0.7201262997441344,-0.001143230442593568
75,0.7282922314769449,-0.001143230442593568
76,0.7555120039196477,0.009744678534487239
77,0.7691218901409984,0.009744678534487239
78,0.7881757308508903,0.009744678534487239
79,0.7963416625837012,0.01246665577875783
80,0.8099515488050519,0.01246665577875783
81,0.8153955032935931,0.015188633023027753
82,0.8181174805378628,0.015188633023027753
83,0.8126735260493225,0.0043007240459469465
84,0.7990636398279714,-0.020197071152485035
85,0.78273177636235,-0.04197288910664709
86,0.771843867385269,-0.06102672981653878
87,0.771843867385269,-0.07191463879361981
88,0.7636779356524586,-0.08552452501497076
89,0.7527900266753771,-0.09913441123632216
90,0.7391801404540264,-0.12363220643475437
91,0.7174043224998643,-0.12907616092329488
92,0.6929065273014321,-0.14268604714464606
93,0.6656867548587297,-0.15629593336599723
94,0.611247209973325,-0.1699058195873484
95,0.5377538243780284,-0.17534977407588892
96,0.44248462082856976,-0.17262779683161855
97,0.347215417279112,-0.16718384234307804
98,0.26283412270673434,-0.15901791061026738
99,0.22200446404268037,-0.15629593336599723
100,0.19478469159997847,-0.15629593336599723
101,0.15939898742446545,-0.15629593336599723
102,0.09679351080624987,-0.16173988785453774
103,0.04507594316511532,-0.17262779683161855
104,-0.012085578964559529,-0.1807937285644292
105,-0.0937448962926668,-0.1944036147857804
106,-0.18357014535358473,-0.20529152376286142
107,-0.24073166748325958,-0.22162338722848296
108,-0.31694703032282656,-0.2433992051826448
109,-0.3931623931623931,-0.27606293211388766
110,-0.47482171049050037,-0.31144863628940067
111,-0.5265392781316347,-0.3277804997550221
112,-0.5837008002613102,-0.34955631770918405
113,-0.629974413413904,-0.36861015841907574
114,-0.654472208612336,-0.3767760901518864
115,-0.6680820948336879,-0.3822200446404269
116,-0.6762480265664985,-0.3876639991289673
117,-0.6871359355435789,-0.39855190810604835
118,-0.6953018672763898,-0.40399586259458875
119,-0.7116337307420111,-0.4121617943273995
120,-0.7279655942076326,-0.4203277260602102
121,-0.7334095486961736,-0.4312156350372912
122,-0.7334095486961736,-0.43393761228156136
123,-0.7361315259404433,-0.43393761228156136
124,-0.7415754804289842,-0.43393761228156136
125,-0.7551853666503352,-0.4366595895258316
126,-0.7633512983831459,-0.4502694757471828
127,-0.7660732756274165,-0.45299145299145305
128,-0.7769611846044968,-0.4611573847242638
129,-0.7960150253143887,-0.4693233164570745
130,-0.8041809570471996,-0.474767270945615
131,-0.801458979802929,-0.474767270945615
